,STATE,ZIP,PHONE,lat,long,Zip_Code_State,STREET
0,CA,90044,(321) 111-2222,33,-118,90044 - CA,Los Angeles
1,CA,12345,(321) 111-2222,33,-118,12345 - CA,12345 Something BlvdLos Angeles
2,CA,12346,(321) 111-2222,33,-118,12346 - CA,12345 Something BlvdLos Angeles
3,CA,12347,(321) 111-2222,33,-118,12347 - CA,12345 Something BlvdLos Angeles
4,CA,12348,(321) 111-2222,33,-118,12348 - CA,12345 Something BlvdLos Angeles
5,CA,12349,(321) 111-2222,33,-118,12349 - CA,12345 Something BlvdLos Angeles
6,CA,12350,(321) 111-2222,33,-118,12350 - CA,12345 Something BlvdLos Angeles
7,CA,12351,(321) 111-2222,33,-118,12351 - CA,12345 Something BlvdLos Angeles
8,CA,12352,(321) 111-2222,33,-118,12352 - CA,12345 Something BlvdLos Angeles
9,CA,12353,(321) 111-2222,33,-118,12353 - CA,12345 Something BlvdLos Angeles
10,CA,12354,(321) 111-2222,33,-118,12354 - CA,12345 Something BlvdLos Angeles
11,CA,12355,(321) 111-2222,33,-118,12355 - CA,12345 Something BlvdLos Angeles
12,CA,12356,(321) 111-2222,33,-118,12356 - CA,12345 Something BlvdLos Angeles
13,CA,12357,(321) 111-2222,33,-118,12357 - CA,12345 Something BlvdLos Angeles
14,CA,12358,(321) 111-2222,33,-118,12358 - CA,12345 Something BlvdLos Angeles
15,CA,12359,(321) 111-2222,33,-118,12359 - CA,12345 Something BlvdLos Angeles
16,CA,12360,(321) 111-2222,33,-118,12360 - CA,12345 Something BlvdLos Angeles
17,CA,12361,(321) 111-2222,33,-118,12361 - CA,12345 Something BlvdLos Angeles
18,CA,12362,(321) 111-2222,33,-118,12362 - CA,12345 Something BlvdLos Angeles
19,CA,12363,(321) 111-2222,33,-118,12363 - CA,12345 Something BlvdLos Angeles
20,CA,12364,(321) 111-2222,33,-118,12364 - CA,12345 Something BlvdLos Angeles
21,CA,12365,(321) 111-2222,33,-118,12365 - CA,12345 Something BlvdLos Angeles
22,CA,12366,(321) 111-2222,33,-118,12366 - CA,12345 Something BlvdLos Angeles
23,CA,12367,(321) 111-2222,33,-118,12367 - CA,12345 Something BlvdLos Angeles
24,CA,12368,(321) 111-2222,33,-118,12368 - CA,12345 Something BlvdLos Angeles
25,CA,12369,(321) 111-2222,33,-118,12369 - CA,12345 Something BlvdLos Angeles
26,CA,12370,(321) 111-2222,33,-118,12370 - CA,12345 Something BlvdLos Angeles
27,CA,12371,(321) 111-2222,33,-118,12371 - CA,12345 Something BlvdLos Angeles
28,CA,12372,(321) 111-2222,33,-118,12372 - CA,12345 Something BlvdLos Angeles
29,CA,12373,(321) 111-2222,33,-118,12373 - CA,12345 Something BlvdLos Angeles
30,CA,12374,(321) 111-2222,33,-118,12374 - CA,12345 Something BlvdLos Angeles
31,CA,12375,(321) 111-2222,33,-118,12375 - CA,12345 Something BlvdLos Angeles
32,CA,12376,(321) 111-2222,33,-118,12376 - CA,12345 Something BlvdLos Angeles
33,CA,12377,(321) 111-2222,33,-118,12377 - CA,12345 Something BlvdLos Angeles
34,CA,12378,(321) 111-2222,33,-118,12378 - CA,12345 Something BlvdLos Angeles
35,CA,12379,(321) 111-2222,33,-118,12379 - CA,12345 Something BlvdLos Angeles
36,CA,12380,(321) 111-2222,33,-118,12380 - CA,12345 Something BlvdLos Angeles
37,CA,12381,(321) 111-2222,33,-118,12381 - CA,12345 Something BlvdLos Angeles
38,CA,12382,(321) 111-2222,33,-118,12382 - CA,12345 Something BlvdLos Angeles
39,CA,12383,(321) 111-2222,33,-118,12383 - CA,12345 Something BlvdLos Angeles
40,CA,12384,(321) 111-2222,33,-118,12384 - CA,12345 Something BlvdLos Angeles
41,CA,12385,(321) 111-2222,33,-118,12385 - CA,12345 Something BlvdLos Angeles
42,CA,12386,(321) 111-2222,33,-118,12386 - CA,12345 Something BlvdLos Angeles
43,CA,12387,(321) 111-2222,33,-118,12387 - CA,12345 Something BlvdLos Angeles
44,CA,12388,(321) 111-2222,33,-118,12388 - CA,12345 Something BlvdLos Angeles
45,CA,12389,(321) 111-2222,33,-118,12389 - CA,12345 Something BlvdLos Angeles
46,CA,12390,(321) 111-2222,33,-118,12390 - CA,12345 Something BlvdLos Angeles
47,CA,12391,(321) 111-2222,33,-118,12391 - CA,12345 Something BlvdLos Angeles
48,CA,12392,(321) 111-2222,33,-118,12392 - CA,12345 Something BlvdLos Angeles
49,CA,12393,(321) 111-2222,33,-118,12393 - CA,12345 Something BlvdLos Angeles
50,CA,12394,(321) 111-2222,33,-118,12394 - CA,12345 Something BlvdLos Angeles
51,CA,12395,(321) 111-2222,33,-118,12395 - CA,12345 Something BlvdLos Angeles
52,CA,12396,(321) 111-2222,33,-118,12396 - CA,12345 Something BlvdLos Angeles
53,CA,12397,(321) 111-2222,33,-118,12397 - CA,12345 Something BlvdLos Angeles
54,CA,12398,(321) 111-2222,33,-118,12398 - CA,12345 Something BlvdLos Angeles
55,CA,12399,(321) 111-2222,33,-118,12399 - CA,12345 Something BlvdLos Angeles
56,CA,12400,(321) 111-2222,33,-118,12400 - CA,12345 Something BlvdLos Angeles
57,CA,12401,(321) 111-2222,33,-118,12401 - CA,12345 Something BlvdLos Angeles
58,CA,12402,(321) 111-2222,33,-118,12402 - CA,12345 Something BlvdLos Angeles
59,CA,12403,(321) 111-2222,33,-118,12403 - CA,12345 Something BlvdLos Angeles
60,CA,12404,(321) 111-2222,33,-118,12404 - CA,12345 Something BlvdLos Angeles
61,CA,12405,(321) 111-2222,33,-118,12405 - CA,12345 Something BlvdLos Angeles
62,CA,12406,(321) 111-2222,33,-118,12406 - CA,12345 Something BlvdLos Angeles
63,CA,12407,(321) 111-2222,33,-118,12407 - CA,12345 Something BlvdLos Angeles
64,CA,12408,(321) 111-2222,33,-118,12408 - CA,12345 Something BlvdLos Angeles
65,CA,12409,(321) 111-2222,33,-118,12409 - CA,12345 Something BlvdLos Angeles
66,CA,12410,(321) 111-2222,33,-118,12410 - CA,12345 Something BlvdLos Angeles
67,CA,12411,(321) 111-2222,33,-118,12411 - CA,12345 Something BlvdLos Angeles
68,CA,12412,(321) 111-2222,33,-118,12412 - CA,12345 Something BlvdLos Angeles
69,CA,12413,(321) 111-2222,33,-118,12413 - CA,12345 Something BlvdLos Angeles
70,CA,12414,(321) 111-2222,33,-118,12414 - CA,12345 Something BlvdLos Angeles
71,CA,12415,(321) 111-2222,33,-118,12415 - CA,12345 Something BlvdLos Angeles
72,CA,12416,(321) 111-2222,33,-118,12416 - CA,12345 Something BlvdLos Angeles
73,CA,12417,(321) 111-2222,33,-118,12417 - CA,12345 Something BlvdLos Angeles
